name,subtype,rules_text,chaos,artist,source,type
Lair of the Ashen Idol,Azgol,"At the beginning of your upkeep, sacrifice a creature. If you can’t, planeswalk. Whenever chaos ensues, any number of target players each create a 2/2 black Zombie creature token.",any number of target players each create a 2/2 black Zombie creature token,,Planechase Anthology Planes (OPCA),universe
Lake Silencio,Earth,"Still Point in Time — All spells have split second. (As long as a spell with split second is on the stack, players can’t cast spells or activate abilities that aren’t mana abilities.) Whenever chaos ensues, Lake Silencio deals 6 damage to target creature an opponent controls. If a creature dealt damage this way would die this turn, exile it instead.",Lake Silencio deals 6 damage to target creature an opponent controls,,Doctor Who (WHO),doctorwho
Lethe Lake,Arkhos,"At the beginning of your upkeep, mill ten cards. Whenever chaos ensues, target player mills ten cards.",target player mills ten cards,,Planechase Anthology Planes (OPCA),universe
Littjara,Kaldheim,"When you planeswalk to Littjara and at the beginning of your upkeep, create a 2/2 blue Shapeshifter creature token with changeling. (It is every creature type.) Whenever chaos ensues, choose a creature type. Put a +1/+1 counter on each creature you control of that type.",choose a creature type,,March of the Machine Commander (MOC),universe
Llanowar,Dominaria,"All creatures have “{T}: Add {G}{G}.” Whenever chaos ensues, untap all creatures you control.",untap all creatures you control,,Planechase Anthology Planes (OPCA),universe
Megaflora Jungle,Gargantikar,"Each creature with mana value 2 or less gets +2/+2. Whenever chaos ensues, create a 1/1 green Insect creature token with flying named Butterfly.",create a 1/1 green Insect creature token with flying named Butterfly,,March of the Machine Commander (MOC),universe
Minamo,Kamigawa,"Whenever a player casts a spell, that player may draw a card. Whenever chaos ensues, each player may return a blue card from their graveyard to their hand.",each player may return a blue card from their graveyard to their hand,,Planechase Anthology Planes (OPCA),universe
Mirrored Depths,Karsus,"Whenever a player casts a spell, that player flips a coin. If the player loses the flip, counter that spell. Whenever chaos ensues, target player reveals the top card of their library. If it’s a nonland card, you may cast it without paying its mana cost.",target player reveals the top card of their library,,Planechase Anthology Planes (OPCA),universe
Mondassian Colony Ship,Spacecraft,"Whenever a creature attacks, it gets +1/+1 until end of turn for each other creature its controller controls that shares a creature type with it. Whenever chaos ensues, turn target creature face down. It becomes a 2/2 Cyberman artifact creature.",turn target creature face down,,Doctor Who (WHO),doctorwho
Mount Keralia,Regatha,"At the beginning of your end step, put a pressure counter on Mount Keralia. When you planeswalk away from Mount Keralia, it deals damage equal to the number of pressure counters on it to each creature and each planeswalker. Whenever chaos ensues, prevent all damage that planes named Mount Keralia would deal this game to permanents you control.",prevent all damage that planes named Mount Keralia would deal this game to permanents you control,,Planechase Anthology Planes (OPCA),universe
Murasa,Zendikar,"Whenever a nontoken creature enters, its controller may search their library for a basic land card, put it onto the battlefield tapped, then shuffle. Whenever chaos ensues, target land becomes a 4/4 creature that’s still a land.",target land becomes a 4/4 creature that’s still a land,,Planechase Anthology Planes (OPCA),universe
Naar Isle,Wildfire,"At the beginning of your upkeep, put a flame counter on Naar Isle, then Naar Isle deals damage to you equal to the number of flame counters on it. Whenever chaos ensues, Naar Isle deals 3 damage to target player or planeswalker.",Naar Isle deals 3 damage to target player or planeswalker,,Planechase Anthology Planes (OPCA),universe
Naktamun,Amonkhet,"Each creature card in your graveyard has embalm. Its embalm cost is equal to its mana cost. (Exile a creature card from your graveyard and pay its embalm cost: Create a token that’s a copy of it, except it’s a white Zombie in addition to its other types with no mana cost. Embalm only as a sorcery.) Whenever chaos ensues, you may discard a card. If you do, draw a card.",you may discard a card,,March of the Machine Commander (MOC),universe
Naya,Alara,"You may play any number of lands on each of your turns. Whenever chaos ensues, target red, green, or white creature you control gets +1/+1 until end of turn for each land you control.","target red, green, or white creature you control gets +1/+1 until end of turn for each land you control",,Planechase Anthology Planes (OPCA),universe
Nephalia,Innistrad,"At the beginning of your end step, mill seven cards. Then return a card at random from your graveyard to your hand. Whenever chaos ensues, return target card from your graveyard to your hand.",return target card from your graveyard to your hand,,Planechase Anthology Planes (OPCA),universe
New Argive,Dominaria,"Whenever a historic creature you control attacks, it gets +2/+2 until end of turn. (Artifacts, legendaries, and Sagas are historic.) Whenever chaos ensues, reveal cards from the top of your library until you reveal a historic card. Put that card into your hand and the rest on the bottom of your library in a random order.",reveal cards from the top of your library until you reveal a historic card,,March of the Machine Commander (MOC),universe
New New York,New Earth,"At the beginning of combat on your turn, until end of turn, noncreature artifacts you control become 3/3 Vehicles in addition to their other types and gain flying, haste, and crew 1. Whenever chaos ensues, create a Treasure token and a 2/2 white Alien creature token.",create a Treasure token and a 2/2 white Alien creature token,,Doctor Who (WHO),doctorwho
Norn's Dominion,New Phyrexia,"When you planeswalk away from Norn’s Dominion, destroy each nonland permanent without a fate counter on it, then remove all fate counters from all permanents. Whenever chaos ensues, you may put a fate counter on target permanent.",you may put a fate counter on target permanent,,Planechase Anthology Planes (OPCA),universe
Norn's Seedcore,New Phyrexia,"When you planeswalk to Norn’s Seedcore, chaos ensues. Whenever chaos ensues, reveal cards from the top of your planar deck until you reveal a plane card. Planeswalk to it, except don’t planeswalk away from any plane. Put the rest of the revealed cards on the bottom of your planar deck in any order.",reveal cards from the top of your planar deck until you reveal a plane card,,March of the Machine Commander (MOC),universe
North Pole Research Base,Earth,"At the beginning of your upkeep, target opponent draws a card and creates a Treasure token. Whenever chaos ensues, create a 2/2 white Alien creature token. When you do, tap target nontoken creature an opponent controls. Put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)",create a 2/2 white Alien creature token,,Doctor Who (WHO),doctorwho
Nyx,Theros,"Nontoken creatures are enchantments in addition to their other types. Constellation — Whenever an enchantment you control enters, you gain 1 life. Whenever chaos ensues, choose a color. Add an amount of mana of that color equal to your devotion to that color.",choose a color,,March of the Machine Commander (MOC),universe
Onakke Catacomb,Shandalar,"All creatures are black and have deathtouch. Whenever chaos ensues, creatures you control get +1/+0 and gain first strike until end of turn.",creatures you control get +1/+0 and gain first strike until end of turn,,Planechase Anthology Planes (OPCA),universe
Ood Sphere,Horsehead Nebula,"Song of the Ood — Noncreature spells have convoke. (A player’s creatures can help cast those spells. Each creature they tap while casting a noncreature spell pays for {1} or one mana of that creature’s color.) Red-Eye — Whenever chaos ensues, for each opponent, goad up to one target creature that opponent controls. Until your next turn, those creatures can’t become tapped unless they’re being declared as attackers.","for each opponent, goad up to one target creature that opponent controls",,Doctor Who (WHO),doctorwho
Orochi Colony,Kamigawa,"Whenever a creature you control deals combat damage to a player, you may search your library for a basic land card, put it onto the battlefield tapped, then shuffle. Whenever chaos ensues, target creature can’t be blocked this turn.",target creature can’t be blocked this turn,,March of the Machine Commander (MOC),universe
Orzhova,Ravnica,"When you planeswalk away from Orzhova, each player returns all creature cards from their graveyard to the battlefield. Whenever chaos ensues, for each opponent, exile up to one target creature card from that player’s graveyard.","for each opponent, exile up to one target creature card from that player’s graveyard",,Planechase Anthology Planes (OPCA),universe
Otaria,Dominaria,"Instant and sorcery cards in graveyards have flashback. The flashback cost is equal to the card’s mana cost. (Its owner may cast the card from their graveyard for its mana cost. Then they exile it.) Whenever chaos ensues, take an extra turn after this one.",take an extra turn after this one,,Planechase Anthology Planes (OPCA),universe
Paliano,Fiora,"When one or more creatures you control deal combat damage to a player, if there is no monarch, you become the monarch. Whenever chaos ensues, create a 1/1 black Assassin creature token with deathtouch and haste.",create a 1/1 black Assassin creature token with deathtouch and haste,,March of the Machine Commander (MOC),universe
Panopticon,Mirrodin,"When you planeswalk to Panopticon, draw a card. At the beginning of your draw step, draw an additional card. Whenever chaos ensues, draw a card.",draw a card,,March of the Machine Commander (MOC),universe
Pin Collector's Booth,MagicCon,"Whenever you attack, create a Pin token attached to target attacking creature you control. It’s an enchantment Pin Aura with “Enchanted creature gets +1/+1.” Whenever chaos ensues, each opponent loses X life, where X is the total number of pins attached to you and creatures you control. (This includes pins on your backpack.) Not Legal This version of this card is oversized with a non-standard Magic back. It is not legal for constructed play.","each opponent loses X life, where X is the total number of pins attached to you and creatures you control",,Unknown Event (DA1),special
Pompeii,Earth,"When you planeswalk to Pompeii and at the beginning of your upkeep, put an eruption counter on it. Whenever you roll a blank on the planar die, scry 2. Then put an eruption counter on Pompeii. When chaos ensues, Pompeii deals damage to each creature and each player equal to the number of eruption counters on Pompeii. Each player sacrifices a land of their choice. Then planeswalk.",,,Doctor Who (WHO),doctorwho
Pools of Becoming,Bolas's Meditation Realm,"At the beginning of your end step, put the cards in your hand on the bottom of your library in any order, then draw that many cards. Whenever chaos ensues, reveal the top three cards of your planar deck. Each of the revealed cards’ chaos abilities triggers. Then put the revealed cards on the bottom of your planar deck in any order.",reveal the top three cards of your planar deck,,Planechase Anthology Planes (OPCA),universe
Prahv,Ravnica,"If you cast a spell this turn, you can’t attack with creatures. If you attacked with creatures this turn, you can’t cast spells. Whenever chaos ensues, you gain life equal to the number of cards in your hand.",you gain life equal to the number of cards in your hand,,Planechase Anthology Planes (OPCA),universe
Prime Minister's Cabinet Room,Earth,"At the beginning of combat on your turn, up to one target creature you control becomes a copy of target creature an opponent controls. Will of the council — Whenever chaos ensues, starting with you, each player votes for a creature you don’t control. Exile each creature with the most votes or tied for most votes.","starting with you, each player votes for a creature you don’t control",,Doctor Who (WHO),doctorwho
Quicksilver Sea,Mirrodin,"When you planeswalk to Quicksilver Sea and at the beginning of your upkeep, scry 4. (Look at the top four cards of your library, then put any number of them on the bottom and the rest on top in any order.) Whenever chaos ensues, reveal the top card of your library. You may play it without paying its mana cost.",reveal the top card of your library,,Planechase Anthology Planes (OPCA),universe
Raven's Run,Shadowmoor,"All creatures have wither. (They deal damage to creatures in the form of -1/-1 counters.) Whenever chaos ensues, put a -1/-1 counter on target creature, two -1/-1 counters on another target creature, and three -1/-1 counters on a third target creature.","put a -1/-1 counter on target creature, two -1/-1 counters on another target creature, and three -1/-1 counters on a third target creature",,Planechase Anthology Planes (OPCA),universe
Riptide Island,Dominaria,"When you planeswalk to Riptide Island and at the beginning of your upkeep, create two 1/1 colorless Sliver creature tokens. Whenever chaos ensues, Slivers you control gain haste and get +X/+X until end of turn, where X is the number of Slivers you control.","Slivers you control gain haste and get +X/+X until end of turn, where X is the number of Slivers you control",,March of the Machine Commander (MOC),universe
Sanctum of Serra,Serra’s Realm,"When you planeswalk away from Sanctum of Serra, destroy all nonland permanents. Whenever chaos ensues, you may have your life total become 20.",you may have your life total become 20,,Planechase Anthology Planes (OPCA),universe
Sea of Sand,Rabiah,"Players reveal each card they draw. Whenever a player draws a land card, that player gains 3 life. Whenever a player draws a nonland card, that player loses 3 life. Whenever chaos ensues, put target permanent on top of its owner’s library.",put target permanent on top of its owner’s library,,Planechase Anthology Planes (OPCA),universe
Selesnya Loft Gardens,Ravnica,"If an effect would create one or more tokens, it creates twice that many of those tokens instead. If an effect would put one or more counters on a permanent, it puts twice that many of those counters on that permanent instead. Whenever chaos ensues, until end of turn, whenever you tap a land for mana, add one mana of any type that land produced.","until end of turn, whenever you tap a land for mana, add one mana of any type that land produced",,March of the Machine Commander (MOC),universe
Shiv,Dominaria,"All creatures have “{R}: This creature gets +1/+0 until end of turn.” Whenever chaos ensues, create a 5/5 red Dragon creature token with flying.",create a 5/5 red Dragon creature token with flying,,Planechase Anthology Planes (OPCA),universe
Shrinking Plane,Foldaria,"When you planeswalk here and at the beginning of your upkeep, fold this plane in half. Draw cards equal to the number of times it’s been folded. If you can’t fold it, planeswalk. Chaos: Completely unfold this plane. Each opponent discards two cards. Not Legal This version of this card is oversized with a non-standard Magic back. It is not legal for constructed play.",,,Unknown Event (DA1),special
Shy Town,Chicago,"Whenever you planeswalk here and whenever chaos ensues, for each opponent, put a shy counter on up to one target creature they control. That creature becomes a Coward in addition to its other types. At the beginning of your upkeep, create a 2/2 red Warrior creature token with haste and “Cowards can’t block Warriors.” Not Legal This version of this card is oversized with a non-standard Magic back. It is not legal for constructed play.",,,Unknown Event (DA1),special
Singing Towers of Darillium,Darillium,"Each nonland card in your hand without foretell has foretell. Its foretell cost is equal to its mana cost reduced by {2}. (During your turn, you may pay {2} and exile it from your hand face down. Cast it on a later turn for its foretell cost.) Whenever chaos ensues, you may cast a foretold card you own from exile without paying its mana cost this turn.",you may cast a foretold card you own from exile without paying its mana cost this turn,,Doctor Who (WHO),doctorwho
Skybreen,Kaldheim,"Players play with the top card of their libraries revealed. Spells that share a card type with the top card of a library can’t be cast. Whenever chaos ensues, target player loses life equal to the number of cards in their hand.",target player loses life equal to the number of cards in their hand,,Planechase Anthology Planes (OPCA),universe
Sky Deck,Chicago,"Whenever you planeswalk here, at the beginning of your upkeep, or whenever chaos ensues, put a glass counter on up to one target nonland permanent. When you planeswalk away from here, destroy all permanents with glass counters on them. Not Legal This version of this card is oversized with a non-standard Magic back. It is not legal for constructed play.",,,Unknown Event (DA1),special
Sokenzan,Kamigawa,"All creatures get +1/+1 and have haste. Whenever chaos ensues, untap all creatures that attacked this turn. If it’s a main phase, there is an additional combat phase after this phase, followed by an additional main phase.",untap all creatures that attacked this turn,,March of the Machine Commander (MOC),universe
Spectrox Mines,Androzani Minor,"When you planeswalk to Spectrox Mines and at the beginning of your upkeep, you lose 3 life and create a Treasure token. Whenever chaos ensues, create a Food token and a 2/2 black Human Rogue creature token.",create a Food token and a 2/2 black Human Rogue creature token,,Doctor Who (WHO),doctorwho
Stairs to Infinity,Xerex,"Players have no maximum hand size. Whenever you roll the planar die, draw a card. Whenever chaos ensues, reveal the top card of your planar deck. You may put it on the bottom of your planar deck.",reveal the top card of your planar deck,,Planechase Anthology Planes (OPCA),universe
Stensia,Innistrad,"Whenever a creature deals damage to one or more players for the first time each turn, put a +1/+1 counter on it. Whenever chaos ensues, each creature you control gains “{T}: This creature deals 1 damage to target player or planeswalker” until end of turn.",each creature you control gains “{T}: This creature deals 1 damage to target player or planeswalker” until end of turn,,March of the Machine Commander (MOC),universe
Stormcage Containment Facility,Unknown Planet,"Each creature card in your graveyard has escape. The escape cost is equal to the card’s mana cost plus exile three other cards from your graveyard. (You may cast cards from your graveyard for their escape cost.) Whenever chaos ensues, detain target creature an opponent controls. (Until your next turn, that creature can’t attack or block and its activated abilities can’t be activated.)",detain target creature an opponent controls,,Doctor Who (WHO),doctorwho
Strixhaven,Arcavios,"Instant and sorcery spells players cast have demonstrate. (Whenever a player casts an instant or sorcery spell, they may copy it. If they do, they choose an opponent to also copy it. Players may choose new targets for their copies.) Whenever chaos ensues, return up to one target instant or sorcery card from a graveyard to its owner’s hand.",return up to one target instant or sorcery card from a graveyard to its owner’s hand,,March of the Machine Commander (MOC),universe
Stronghold Furnace,Rath,"If a source would deal damage to a permanent or player, it deals double that damage instead. Whenever chaos ensues, Stronghold Furnace deals 1 damage to any target.",Stronghold Furnace deals 1 damage to any target,,March of the Machine Commander (MOC),universe
Stroopwafel Cafe,Amsterdam,"Players may look at the top card of their library at any time and may play cards from the top of their library. The top card of each player’s library is a Food artifact. (It’s an artifact with “{2}, {T}, Sacrifice this artifact: You gain 3 life.” Activate this ability from the top of the library.) Chaos: You may sacrifice a Food. If you do, draw a card, gain three life and each opponent loses 3 life. Not Legal This version of this card is oversized with a non-standard Magic back. It is not legal for constructed play.",,,Unknown Event (DA1),special
Takenuma,Kamigawa,"Whenever a creature leaves the battlefield, its controller draws a card. Whenever chaos ensues, return target creature you control to its owner’s hand.",return target creature you control to its owner’s hand,,Planechase Anthology Planes (OPCA),universe
Talon Gates,Dominaria,"Any time you could cast a sorcery, you may exile a nonland card from your hand with X time counters on it, where X is its mana value. If the exiled card doesn’t have suspend, it gains suspend. (At the beginning of its owner’s upkeep, they remove a time counter. When the last is removed, the player may cast it without paying its mana cost. If it’s a creature, it has haste.) Whenever chaos ensues, remove two time counters from each suspended card you own.",remove two time counters from each suspended card you own,,Planechase Anthology Planes (OPCA),universe
TARDIS Bay,Gallifrey,"The first spell you cast during each of your turns with mana value 2 or greater has cascade. (When you cast that spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.) When chaos ensues, gain control of target artifact. Then planeswalk.",,,Doctor Who (WHO),doctorwho
Tazeem,Zendikar,"Creatures can’t block. Whenever chaos ensues, draw a card for each land you control.",draw a card for each land you control,,Planechase Anthology Planes (OPCA),universe
Tember City,Kinshala,"Whenever a player taps a land for mana, Tember City deals 1 damage to that player. Whenever chaos ensues, each other player sacrifices a nonland permanent of their choice.",each other player sacrifices a nonland permanent of their choice,,Planechase Anthology Planes (OPCA),universe
Temple of Atropos,Time,"At the beginning of each of your postcombat main phases, there is an additional beginning phase after this phase. (The beginning phase includes the untap, upkeep, and draw steps.) When chaos ensues, reverse the game’s turn order. Then planeswalk. (For example, if play had proceeded clockwise around the table, it now goes counterclockwise.)",,,Doctor Who (WHO),doctorwho
Ten Wizards Mountain,Shenmeng,"Whenever you roll the planar die, put a +1/+1 counter on up to one target creature. Whenever chaos ensues, creatures you control gain flying until end of turn.",creatures you control gain flying until end of turn,,March of the Machine Commander (MOC),universe
The Aether Flues,Iquatana,"When you planeswalk to The Aether Flues and at the beginning of your upkeep, you may sacrifice a creature. If you do, reveal cards from the top of your library until you reveal a creature card, put that card onto the battlefield, then shuffle all other cards revealed this way into your library. Whenever chaos ensues, you may put a creature card from your hand onto the battlefield.",you may put a creature card from your hand onto the battlefield,,March of the Machine Commander (MOC),universe
The Bean,Chicago,"Whenever you planeswalk here, each player chooses a creature they control and creates a token copy of it. It’s a reflection in addition to its other types, and its power and toughness are inverted. Whenever Chaos ensues, create a token that’s a copy of a creature you control. It’s a reflection in addition to its other types, and its power and toughness are inverted. Not Legal This version of this card is oversized with a non-standard Magic back. It is not legal for constructed play.",,,Unknown Event (DA1),special
The Caldaia,Capenna,"Creature spells you cast from your hand have blitz {3}. (If you cast a spell for its blitz cost, it gains haste and “When this creature dies, draw a card.” Sacrifice it at the beginning of the next end step.) Whenever chaos ensues, return target creature card from your graveyard to your hand.",return target creature card from your graveyard to your hand,,March of the Machine Commander (MOC),universe
The Cave of Skulls,Earth,"Each creature card in your graveyard has scavenge. The scavenge cost is equal to its mana cost. (Exile a creature card from your graveyard and pay its mana cost: Put a number of +1/+1 counters equal to that card’s power on target creature. Scavenge only as a sorcery.) Whenever chaos ensues, create two 1/1 white Warrior creature tokens.",create two 1/1 white Warrior creature tokens,,Doctor Who (WHO),doctorwho
The Cheetah Planet,Outside Mutter's Spiral,"When you planeswalk to The Cheetah Planet and at the beginning of your upkeep, put two +1/+1 counters on target non-Cat creature you control. It becomes a Cat in addition to its other types. Whenever chaos ensues, all Cats gain provoke until end of turn. (Whenever a Cat attacks, its controller may have target creature defending player controls untap and block it if able.)",all Cats gain provoke until end of turn,,Doctor Who (WHO),doctorwho
The Dark Barony,Ulgrotha,"Whenever a nonblack card is put into a player’s graveyard from anywhere, that player loses 1 life. Whenever chaos ensues, each opponent discards a card.",each opponent discards a card,,Planechase Anthology Planes (OPCA),universe
The Dining Car,Spacecraft,"When you planeswalk to The Dining Car, each player creates a Food token. Sixty-Six Seconds — At the beginning of your upkeep, sacrifice a creature with the least toughness among creatures you control. Then investigate. Whenever chaos ensues, activated abilities of artifact tokens you control cost {2} less to activate this turn.",activated abilities of artifact tokens you control cost {2} less to activate this turn,,Doctor Who (WHO),doctorwho
The Doctor's Childhood Barn,Gallifrey,"Creatures enter tapped. Whenever chaos ensues, for each opponent, choose up to one target nonland permanent that opponent controls. Untap those permanents. They phase out. They can’t phase in for as long as The Doctor’s Childhood Barn remains face up. When a player planeswalks, those permanents phase in.","for each opponent, choose up to one target nonland permanent that opponent controls",,Doctor Who (WHO),doctorwho
The Doctor's Tomb,Trenzalore,"If a creature would die, instead exile it and that creature’s controller loses 2 life. Whenever chaos ensues, redistribute any number of players’ life totals. (Each of those players gets one life total back.)",redistribute any number of players’ life totals,,Doctor Who (WHO),doctorwho
"The Drum, Mining Facility",Earth,"Whenever you roll the planar die, creatures you control get +1/+1 and gain haste until end of turn. Whenever chaos ensues, end the turn. (Exile all spells and abilities from the stack. The player whose turn it is discards down to their maximum hand size. Damage wears off, and “this turn” and “until end of turn” effects end.)",end the turn,,Doctor Who (WHO),doctorwho
The Eon Fog,Equilor,"Players skip their untap steps. Whenever chaos ensues, untap all permanents you control.",untap all permanents you control,,Planechase Anthology Planes (OPCA),universe
The Fertile Lands of Saulvinia,Antausia,"Whenever a player taps a land for mana, that player adds one mana of any type that land produced. Whenever chaos ensues, reveal cards from the top of your planar deck until you reveal a plane card. Chaos ensues on that plane. Then put all cards revealed this way on the bottom of your planar deck in any order.",reveal cards from the top of your planar deck until you reveal a plane card,,March of the Machine Commander (MOC),universe
The Fourth Sphere,Phyrexia,"At the beginning of your upkeep, sacrifice a nonblack creature. Whenever chaos ensues, create a 2/2 black Zombie creature token.",create a 2/2 black Zombie creature token,,Planechase Anthology Planes (OPCA),universe
The Golden City of Orazca,Ixalan,"Ascend (If you control ten or more permanents, you get the city’s blessing for the rest of the game.) Whenever one or more creatures you control deal combat damage to a player, create a Treasure token. Then draw a card if you have the city’s blessing. Whenever chaos ensues, you may put a permanent card from your hand onto the battlefield tapped.",you may put a permanent card from your hand onto the battlefield tapped,,March of the Machine Commander (MOC),universe
The Great Aerie,Tarkir,"When you planeswalk to The Great Aerie and at the beginning of your upkeep, bolster 3. (Choose a creature with the least toughness among creatures you control and put three +1/+1 counters on it.) Whenever chaos ensues, choose up to one target creature you control and up to one target creature an opponent controls. Each of those creatures deals damage equal to its toughness to the other.",choose up to one target creature you control and up to one target creature an opponent controls,,March of the Machine Commander (MOC),universe
The Great Forest,Lorwyn,"Each creature assigns combat damage equal to its toughness rather than its power. Whenever chaos ensues, creatures you control get +0/+2 and gain trample until end of turn.",creatures you control get +0/+2 and gain trample until end of turn,,March of the Machine Commander (MOC),universe
The Hippodrome,Segovia,"All creatures get -5/-0. Whenever chaos ensues, you may destroy target creature if its power is 0 or less.",you may destroy target creature if its power is 0 or less,,Planechase Anthology Planes (OPCA),universe
The Lux Foundation Library,The Library,"Players have no maximum hand size. Whenever a creature you control deals combat damage to a player, you may draw a card. Whenever chaos ensues, put a shadow counter on target creature. (A creature with shadow can block or be blocked by only creatures with shadow.)",put a shadow counter on target creature,,Doctor Who (WHO),doctorwho
The Maelstrom,Alara,"When you planeswalk to The Maelstrom and at the beginning of your upkeep, you may reveal the top card of your library. If it’s a permanent card, you may put it onto the battlefield. If you revealed a card but didn’t put it onto the battlefield, put it on the bottom of your library. Whenever chaos ensues, return target permanent card from your graveyard to the battlefield.",return target permanent card from your graveyard to the battlefield,,Planechase Anthology Planes (OPCA),universe
The Matrix of Time,Gallifrey,"When you planeswalk to The Matrix of Time, each player exiles the top card of their library. During your turn, you may play lands and cast spells from among cards exiled with The Matrix of Time. Whenever you play a land or cast a spell from among cards exiled with The Matrix of Time, that card’s owner loses 3 life and exiles the top card of their library. Whenever chaos ensues, create two Treasure tokens.",create two Treasure tokens,,Doctor Who (WHO),doctorwho
The Moonbase,Moon,"Low Gravity — All creatures have “{2}: This creature gains flying until end of turn. Activate only as a sorcery.” Whenever chaos ensues, for each opponent, choose up to one target creature card in that player’s graveyard. Put those cards onto the battlefield face down under your control. They’re 2/2 Cyberman artifact creatures.","for each opponent, choose up to one target creature card in that player’s graveyard",,Doctor Who (WHO),doctorwho
The Pit,The Abyss,"When you planeswalk to The Pit, each player creates their choice of a 3/3 white Angel creature token with flying or a 6/6 black Demon creature token with flying, trample, and “At the beginning of your upkeep, sacrifice another creature. If you can’t, this creature deals 6 damage to you.” Whenever chaos ensues, each player sacrifices a nonartifact creature of their choice.",each player sacrifices a nonartifact creature of their choice,,March of the Machine Commander (MOC),universe
The Pyramid of Mars,Mars,"When you planeswalk to The Pyramid of Mars and at beginning of your upkeep, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.) Whenever chaos ensues, return target creature card from your graveyard to the battlefield.",return target creature card from your graveyard to the battlefield,,Doctor Who (WHO),doctorwho
